run,metric,w_sig,w_mbc,w_ttp,top_k,W,beta,tfidf_pattern
1,cosine,0,0,1,5,0,1,TRUE
2,cosine,0,0,1,5,0.1,0.9,TRUE
3,cosine,0,0,1,5,0.2,0.8,TRUE
4,cosine,0,0,1,5,0.3,0.7,TRUE
5,cosine,0,0,1,5,0.4,0.6,TRUE
6,cosine,0,0,1,5,0.5,0.5,TRUE
7,cosine,0,0,1,5,0.6,0.4,TRUE
8,cosine,0,0,1,5,0.7,0.3,TRUE
9,cosine,0,0,1,5,0.8,0.2,TRUE
10,cosine,0,0,1,5,0.9,0.1,TRUE
11,cosine,0,0,1,5,1,0,TRUE
12,cosine,0,0.1,0.9,5,0,1,TRUE
13,cosine,0,0.1,0.9,5,0.1,0.9,TRUE
14,cosine,0,0.1,0.9,5,0.2,0.8,TRUE
15,cosine,0,0.1,0.9,5,0.3,0.7,TRUE
16,cosine,0,0.1,0.9,5,0.4,0.6,TRUE
17,cosine,0,0.1,0.9,5,0.5,0.5,TRUE
18,cosine,0,0.1,0.9,5,0.6,0.4,TRUE
19,cosine,0,0.1,0.9,5,0.7,0.3,TRUE
20,cosine,0,0.1,0.9,5,0.8,0.2,TRUE
21,cosine,0,0.1,0.9,5,0.9,0.1,TRUE
22,cosine,0,0.1,0.9,5,1,0,TRUE
23,cosine,0,0.2,0.8,5,0,1,TRUE
24,cosine,0,0.2,0.8,5,0.1,0.9,TRUE
25,cosine,0,0.2,0.8,5,0.2,0.8,TRUE
26,cosine,0,0.2,0.8,5,0.3,0.7,TRUE
27,cosine,0,0.2,0.8,5,0.4,0.6,TRUE
28,cosine,0,0.2,0.8,5,0.5,0.5,TRUE
29,cosine,0,0.2,0.8,5,0.6,0.4,TRUE
30,cosine,0,0.2,0.8,5,0.7,0.3,TRUE
31,cosine,0,0.2,0.8,5,0.8,0.2,TRUE
32,cosine,0,0.2,0.8,5,0.9,0.1,TRUE
33,cosine,0,0.2,0.8,5,1,0,TRUE
34,cosine,0,0.3,0.7,5,0,1,TRUE
35,cosine,0,0.3,0.7,5,0.1,0.9,TRUE
36,cosine,0,0.3,0.7,5,0.2,0.8,TRUE
37,cosine,0,0.3,0.7,5,0.3,0.7,TRUE
38,cosine,0,0.3,0.7,5,0.4,0.6,TRUE
39,cosine,0,0.3,0.7,5,0.5,0.5,TRUE
40,cosine,0,0.3,0.7,5,0.6,0.4,TRUE
41,cosine,0,0.3,0.7,5,0.7,0.3,TRUE
42,cosine,0,0.3,0.7,5,0.8,0.2,TRUE
43,cosine,0,0.3,0.7,5,0.9,0.1,TRUE
44,cosine,0,0.3,0.7,5,1,0,TRUE
45,cosine,0,0.4,0.6,5,0,1,TRUE
46,cosine,0,0.4,0.6,5,0.1,0.9,TRUE
47,cosine,0,0.4,0.6,5,0.2,0.8,TRUE
48,cosine,0,0.4,0.6,5,0.3,0.7,TRUE
49,cosine,0,0.4,0.6,5,0.4,0.6,TRUE
50,cosine,0,0.4,0.6,5,0.5,0.5,TRUE
51,cosine,0,0.4,0.6,5,0.6,0.4,TRUE
52,cosine,0,0.4,0.6,5,0.7,0.3,TRUE
53,cosine,0,0.4,0.6,5,0.8,0.2,TRUE
54,cosine,0,0.4,0.6,5,0.9,0.1,TRUE
55,cosine,0,0.4,0.6,5,1,0,TRUE
56,cosine,0,0.5,0.5,5,0,1,TRUE
57,cosine,0,0.5,0.5,5,0.1,0.9,TRUE
58,cosine,0,0.5,0.5,5,0.2,0.8,TRUE
59,cosine,0,0.5,0.5,5,0.3,0.7,TRUE
