run,metric,w_sig,w_mbc,w_ttp,top_k,W,beta,tfidf_pattern
1,cosine,0,0,1,5,0.6,0.4,FALSE
2,cosine,0,0.1,0.9,5,0.6,0.4,FALSE
3,cosine,0,0.2,0.8,5,0.6,0.4,FALSE
4,cosine,0,0.3,0.7,5,0.6,0.4,FALSE
5,cosine,0,0.4,0.6,5,0.6,0.4,FALSE
6,cosine,0,0.5,0.5,5,0.6,0.4,FALSE
7,cosine,0,0.6,0.4,5,0.6,0.4,FALSE
8,cosine,0,0.7,0.3,5,0.6,0.4,FALSE
9,cosine,0,0.8,0.2,5,0.6,0.4,FALSE
10,cosine,0,0.9,0.1,5,0.6,0.4,FALSE
11,cosine,0,1,0,5,0.6,0.4,FALSE
12,cosine,0.1,0,0.9,5,0.6,0.4,FALSE
13,cosine,0.1,0.1,0.8,5,0.6,0.4,FALSE
14,cosine,0.1,0.2,0.7,5,0.6,0.4,FALSE
15,cosine,0.1,0.3,0.6,5,0.6,0.4,FALSE
16,cosine,0.1,0.4,0.5,5,0.6,0.4,FALSE
17,cosine,0.1,0.5,0.4,5,0.6,0.4,FALSE
18,cosine,0.1,0.6,0.3,5,0.6,0.4,FALSE
19,cosine,0.1,0.7,0.2,5,0.6,0.4,FALSE
20,cosine,0.1,0.8,0.1,5,0.6,0.4,FALSE
21,cosine,0.1,0.9,0,5,0.6,0.4,FALSE
22,cosine,0.2,0,0.8,5,0.6,0.4,FALSE
23,cosine,0.2,0.1,0.7,5,0.6,0.4,FALSE
24,cosine,0.2,0.2,0.6,5,0.6,0.4,FALSE
25,cosine,0.2,0.3,0.5,5,0.6,0.4,FALSE
26,cosine,0.2,0.4,0.4,5,0.6,0.4,FALSE
27,cosine,0.2,0.5,0.3,5,0.6,0.4,FALSE
28,cosine,0.2,0.6,0.2,5,0.6,0.4,FALSE
29,cosine,0.2,0.7,0.1,5,0.6,0.4,FALSE
30,cosine,0.2,0.8,0,5,0.6,0.4,FALSE
31,cosine,0.3,0,0.7,5,0.6,0.4,FALSE
32,cosine,0.3,0.1,0.6,5,0.6,0.4,FALSE
33,cosine,0.3,0.2,0.5,5,0.6,0.4,FALSE
34,cosine,0.3,0.3,0.4,5,0.6,0.4,FALSE
35,cosine,0.3,0.4,0.3,5,0.6,0.4,FALSE
36,cosine,0.3,0.5,0.2,5,0.6,0.4,FALSE
37,cosine,0.3,0.6,0.1,5,0.6,0.4,FALSE
38,cosine,0.3,0.7,0,5,0.6,0.4,FALSE
39,cosine,0.4,0,0.6,5,0.6,0.4,FALSE
40,cosine,0.4,0.1,0.5,5,0.6,0.4,FALSE
41,cosine,0.4,0.2,0.4,5,0.6,0.4,FALSE
42,cosine,0.4,0.3,0.3,5,0.6,0.4,FALSE
43,cosine,0.4,0.4,0.2,5,0.6,0.4,FALSE
44,cosine,0.4,0.5,0.1,5,0.6,0.4,FALSE
45,cosine,0.4,0.6,0,5,0.6,0.4,FALSE
46,cosine,0.5,0,0.5,5,0.6,0.4,FALSE
47,cosine,0.5,0.1,0.4,5,0.6,0.4,FALSE
48,cosine,0.5,0.2,0.3,5,0.6,0.4,FALSE
49,cosine,0.5,0.3,0.2,5,0.6,0.4,FALSE
50,cosine,0.5,0.4,0.1,5,0.6,0.4,FALSE
51,cosine,0.5,0.5,0,5,0.6,0.4,FALSE
52,cosine,0.6,0,0.4,5,0.6,0.4,FALSE
53,cosine,0.6,0.1,0.3,5,0.6,0.4,FALSE
54,cosine,0.6,0.2,0.2,5,0.6,0.4,FALSE
55,cosine,0.6,0.3,0.1,5,0.6,0.4,FALSE
56,cosine,0.6,0.4,0,5,0.6,0.4,FALSE
57,cosine,0.7,0,0.3,5,0.6,0.4,FALSE
58,cosine,0.7,0.1,0.2,5,0.6,0.4,FALSE
59,cosine,0.7,0.2,0.1,5,0.6,0.4,FALSE
60,cosine,0.7,0.3,0,5,0.6,0.4,FALSE
61,cosine,0.8,0,0.2,5,0.6,0.4,FALSE
62,cosine,0.8,0.1,0.1,5,0.6,0.4,FALSE
63,cosine,0.8,0.2,0,5,0.6,0.4,FALSE
64,cosine,0.9,0,0.1,5,0.6,0.4,FALSE
65,cosine,0.9,0.1,0,5,0.6,0.4,FALSE
66,cosine,1,0,0,5,0.6,0.4,FALSE
