sha256,rank,action,score
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,1,D3-PT - Process Termination,1.566962
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,2,D3-CQ - Content Quarantine,1.000589
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,3,D3-PLA - Process Lineage Analysis,0.790869
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,4,D3-PSA - Process Spawn Analysis,0.790869
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,5,D3-OTF - Outbound Traffic Filtering,0.784825
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,6,D3-CAA - Connection Attempt Analysis,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,7,D3-CCSA - Credential Compromise Scope Analysis,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,8,D3-CR - Credential Revocation,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,9,D3-CRO - Credential Rotation,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,10,D3-DNSDL - DNS Denylisting,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,11,D3-DNSTA - DNS Traffic Analysis,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,12,D3-EAL - Executable Allowlisting,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,13,D3-EDL - Executable Denylisting,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,14,D3-FA - File Analysis,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,15,D3-FEV - File Eviction,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,16,D3-FIM - File Integrity Monitoring,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,17,D3-FRDDL - Forward Resolution Domain Denylisting,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,18,D3-PCSV - Process Code Segment Verification,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,19,D3-RC - Restore Configuration,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,20,D3-RF - Restore File,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,21,D3-RTSD - Remote Terminal Session Detection,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,22,D3-RUAA - Restore User Account Access,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,23,D3-SCA - System Call Analysis,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,24,D3-ST - Session Termination,0.600000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,25,D3-CE - Credential Eviction,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,26,D3-EI - Execution Isolation,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,27,D3-FAPA - File Access Pattern Analysis,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,28,D3-FCA - File Creation Analysis,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,29,D3-FCOA - File Content Analysis,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,30,D3-FHRA - File Hash Reputation Analysis,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,31,D3-FRIDL - Forward Resolution IP Denylisting,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,32,D3-ITF - Inbound Traffic Filtering,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,33,D3-NI - Network Isolation,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,34,D3-NTA - Network Traffic Analysis,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,35,D3-PA - Process Analysis,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,36,D3-PSMD - Process Self,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,37,D3-RKD - Registry Key Deletion,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,38,D3-SEA - Script Execution Analysis,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,39,D3-SICA - System Init Config Analysis,0.000000
9664b724abd8cc4dca9dd910bde9f4dc21605332186a8100c25c4f4a0a3e5b47,40,D3-SJA - Scheduled Job Analysis,0.000000
