target_id,dataset_id,similarity_type,signatures_similarity,mbcs_similarity,ttps_similarity
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0017e2bb45469ea5f02edab017f77b7242c9a3330478c748e7e8380149ded601,cosine,0.1051138405,0.0405135138,0.2047056642
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,00515fe91a6b40d5c5ae851cb18d31c675ff38901edd352b3e6379087d5f2b26,cosine,0.2754149741,0.4296334771,0.1763770376
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,00b4eedbb85d52ce1a691501cbbf4587c49c93906611268a75ac547337c5919a,cosine,0.1028458037,0.0931273799,0.0871527075
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,00d56f9d4e23372133f953d1a0bb58567bc2e9bc34f9e70304116a6382448458,cosine,0.5278395053,0.4870770707,0.4004593636
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,00e90b818309e8e0c0c73f539786c434af5156cb8d4eab78658e8871b972f1bc,cosine,0.2172750888,0.2033664737,0.1373321142
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,01383cd292942f754d098b5a36acf8f47223a8980a1a91f0afcad5a29bac92e0,cosine,0.1670410117,0.1067784889,0.123311356
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,017b236bf38a1cf9a52fc0bdee2d5f23f038b00f9811c8a58b8b66b1c756b8d6,cosine,0.1166280472,0.2249499996,0.1462648635
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0195f03c60d26ccf7bf74d6c29926169ba3233f305b8c61d07e085b9aeb6c452,cosine,0.2227353727,0.2085696827,0.1288641694
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,01ce496e53ddf9dacd4f7781f7162d20f4dcaf5095a3c42a4325039fe0d146d0,cosine,0.219492971,0.2528834684,0.2526121654
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0211fa99da14b1e1345530d8ecdd8445f9000c0e4a62a5af9f76e661ac48d529,cosine,0.2790012688,0.393439293,0.311708446
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0251d3e4eac3e2e30f8648c4f366e525bb4f0b17b68bd677da867ef906653c31,cosine,0.1545173196,0.0952877581,0.1249888966
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0291e99acfedf4e277d56babb2783ce0a01e873a42627b4e3f4a56c2a10cc24d,cosine,0.143648177,0.1805759609,0.0558520127
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,029446e73e84a56b1fccd594b300007e29681766bc585607c7eb833e16b3d36b,cosine,0.219492971,0.2528834684,0.2526121654
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0340043481091d92dcfb2c498aad3c0afca2fd208ef896f65af790cc147f8891,cosine,0.1470010117,0.0594165523,0.0959502787
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0341ff3dcd3d14b971c1558cb3277908aa3c7841e017fd6f30359a481305813e,cosine,0.495792651,0.3951501795,0.311708446
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,03bb4d5c0179fdceacc5df7645e6e7fa93e931ac9beb1968c7bbe40ba3499194,cosine,0.0972938512,0.1293013276,0.0830973182
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,03f51ffa9c987630724a451ad872f52bf97bd257ad06b58b6194f5dec29c8f13,cosine,0.3733801347,0.2107242046,0.0767048973
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,041fd213326dd5c10a16caf88ff076bb98c68c052284430fba5f601023d39a14,cosine,0.2164245122,0.1899696905,0.0574980004
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,042271aadf2191749876fc99997d0e6bdd3b89159e7ab8cd11a9f13ae65fa6b1,cosine,0.2068866575,0.1033081038,0.1406568433
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,04419b76566142902680b2c44b216905b44a5743502530066e408bac72d20864,cosine,0.2448789546,0.0310704966,0.0757866627
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,04c9cc0d1577d5ee54a4e2d4dd12f17011d13703cdd0e6efd46718d14fd9aa87,cosine,0.158844621,0.1543679745,0.0338440531
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,04dd197044b9d4c84a86fb2e50fc3c0c3ac5b021aa1314b821d693fa60124465,cosine,0.4858924925,0.4618966025,0.2690953724
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,04fdb3ba76452feea3b4bc18bcf9cd9f2255198d0d46447547e7a19942f563c2,cosine,0.2863020625,0.1796742929,0.0856463839
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,056c3790765f928e991591cd139384b6680df26313a73711add657abc369028c,cosine,0.1280044321,0.109344547,0.0962027282
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,059cbde98d16f289413cac8ac66ea5b813345f02f5e1f0ceb31623e65ff9a327,cosine,0.2885138166,0.1473142097,0.0896108972
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,062de0a9fa284c56323ccaa5cf9b4a70801234b129744e1def53b29a7a86b8cd,cosine,0.2063462384,0.0958367946,0.0669969675
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,06bc4902e0f44eb635f4e291f97bed748fb4514acbc3fc14c3c5bbf195689cb8,cosine,0.1028458037,0.0260513594,0.0
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,06d2775330e0fdba79346c8c1a89f588311320dcb0c18422eb8f651858b22aff,cosine,0.2655589079,0.1039828093,0.0999075689
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,06edeee5eaf02a2ee9849ca2b8bc9ec67c39c338c9b184c04f5f0da7c6bedfa5,cosine,0.2119247609,0.1844363933,0.2836126331
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,06faab22cce2f53162f1a19d3cb5af5081339310ab43030681b88e3d10e5743e,cosine,0.3144317415,0.4069482791,0.1389992767
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,07667fb2483b4727216ad7f7ce6413f32bea9530ad405fc7a415812ef6f3449a,cosine,0.0843785493,0.1068855084,0.0608814991
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0771775f6646f28170c196d4ddba3ecdd1b0ada28c15dcc5b85f5c374c7b6987,cosine,0.755204172,0.5716923028,0.2509906345
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,082fd5bb94abeb41478f187d82cecbc94378d781386f9711010e226deae3004f,cosine,0.0938957935,0.1177295429,0.1193721246
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,085105e613ad37808a8db9a3c2ba5561d5d38d5c5c43b469c93d15f0d64af0c1,cosine,0.1928622314,0.0789476646,0.0774453907
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0975c1b6414bdf4f49f01ce71ee3203516aba6dae97968438370c78550428b37,cosine,0.2142597043,0.2325515095,0.2526121654
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,098aa02c6c9dfa8b4fe8a40e0aa819ee73b834ab2058051de80c4c530534643f,cosine,0.1028458037,0.0260513594,0.0329547048
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,098aad386b0f549cefddf2001dba9f31f40d88a3618cd3a8d5589b4b0b467342,cosine,0.1283316216,0.2050273501,0.130610497
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0a40acb8ddbc2ed8f8b703681fadf9fcb2672fdb75d93c150b45c6465cc9b1b4,cosine,0.1894872534,0.0917583769,0.0915963462
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0b4c743246478a6a8c9fa3ff8e04f297507c2f0ea5d61a1284fe65387d172f81,cosine,0.0789486795,0.0978931622,0.0909671917
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0b58a2bed7d9d44e29ad6988250456c49863a23adeb9b5ab59763352187104b3,cosine,0.516879789,0.2485168461,0.1607585159
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0b668d0ac89d5da1526be831f7b8c3f2af54c5dbc68c0c9ce886183ec518c051,cosine,0.4754794169,0.3621139912,0.288645539
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0b6e1343a2731908678ff352ac759a147f11a86d3f2481dc21386e919a976103,cosine,0.1875962532,0.0952877581,0.0642148815
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0b919795439bfca71282fc1c6991ed0df9fbcf742a5472762d7607ff4e6c929a,cosine,0.1661124628,0.0,0.0300046977
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0b94a7d15b14faeeb09254c70908120f5e5d1047859b3a063fec4e96cb50c657,cosine,0.3605961552,0.4551073662,0.5284177163
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0b997e8b0d0ff6cc4e6f1919c6c0f3080eaa0d08c8fccdf50f7648bf05cca446,cosine,0.0972938512,0.1228298222,0.0791547314
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0ba6e305edc2ba967fee018f839a0bfb52e6f5479d5190e8ff3263def3ca25f3,cosine,0.2860896738,0.402823491,0.0838467098
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0bd30fd514c0ba95e84d21afb8d5a59ef0e27f3a82ee6d29af7178dfc371ec57,cosine,0.1302188378,0.3991486637,0.1637648414
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0c0c9a19db1f89d94ddcd8af54fa631798e3ccc82743faae6d9818759f2dbcc1,cosine,0.0918321338,0.1136212625,0.0916299706
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0cb6db3b13d90d34c76a8978afe08abae24991fa0d11cecd642c7714f9b376a8,cosine,0.1359694845,0.1326222629,0.0939207574
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0cbb472b555d4cab454948ba900675db48b120afaedf246a14d87d970b233a43,cosine,0.1314246664,0.1805759609,0.1037638724
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0d1a8fa865a99957b63339c67aa5aabc66e0001bdb4bd5f0c727f40dff2ea576,cosine,0.3140243613,0.3160235901,0.2422323325
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0d8b03ccf47db19028069b9a0eab33121138fda2d66d8fb89db6aa28f4071c35,cosine,0.2029343324,0.2105207523,0.2136522386
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0dba4ae0e70438be2e61de3aa90147b489dd87912930fde95e6255e83efbc4c8,cosine,0.2403594343,0.2085696827,0.0579314258
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0dc042f00f5f3740477d5f1167f160f9f1744dd191784ba2dac06f10a8139551,cosine,0.219492971,0.2528834684,0.2526121654
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0e4886f231c7c1418fc0231131283c030d6afc8098bab28204b322bf642bda7c,cosine,0.2029343324,0.2105207523,0.2136522386
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0e49a7e27c826b6afb92d25bd287493693af46e42838270cf96ee2f27c2c0521,cosine,0.3140243613,0.303955502,0.2422323325
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0f54e0f3c3408647bf9844f9d97b64dbc62278091280b3d7bf1db5bdde3fc436,cosine,0.0,0.1796742929,0.1098580164
9630854693b8e9d6be3490068ba7c5797232578c1366480c17546079f880e19b,0fa6047b89faa0096bac58ca8733687cd676b31cd75675654e4e0343ca8ae8c6,cosine,0.4569258904,0.4573893444,0.3210363624
