hash,B0001,B0001.002,B0001.009,B0001.019,B0001.025,B0001.031,B0001.032,B0001.033,B0001.034,B0001.036,B0002,B0002.008,B0003,B0003.002,B0003.003,B0007,B0007.008,B0009,B0009.005,B0009.008,B0009.012,B0009.024,B0013,B0013.001,B0013.009,B0018,B0022,B0023,B0025.007,B0028,B0028.001,B0029,B0030,B0030.001,B0030.002,B0030.003,B0032,B0032.017,B0032.020,B0033,B0043,B0046.001,B0046.002,B0047,C0001,C0001.001,C0001.003,C0001.004,C0001.005,C0001.006,C0001.007,C0001.008,C0001.009,C0001.010,C0001.011,C0001.012,C0002,C0002.003,C0002.004,C0002.006,C0002.008,C0002.009,C0002.012,C0002.013,C0002.014,C0002.017,C0003,C0003.001,C0003.002,C0003.003,C0003.004,C0004.001,C0004.002,C0005,C0005.001,C0007,C0008,C0011,C0011.001,C0011.002,C0014,C0014.002,C0015,C0016,C0016.002,C0017,C0017.003,C0018,C0019,C0021,C0021.003,C0021.004,C0024,C0025.001,C0025.003,C0026.001,C0026.002,C0027,C0027.001,C0027.003,C0027.004,C0027.009,C0027.011,C0028,C0028.002,C0029,C0029.001,C0029.002,C0029.003,C0029.004,C0030.001,C0030.005,C0031,C0031.001,C0031.010,C0032.001,C0032.002,C0032.005,C0033,C0034,C0034.001,C0035,C0036,C0036.001,C0036.002,C0036.003,C0036.004,C0036.005,C0036.006,C0036.007,C0038,C0039,C0040,C0041,C0042,C0043,C0045,C0046,C0047,C0048,C0049,C0050,C0051,C0052,C0053.001,C0054,C0055,C0057.001,C0058,C0059,C0060,C0061,C0063,C0065,E1010,E1014,E1027,E1027.M02,E1027.M03,E1027.M05,E1055,E1055.M04,E1059,E1082,E1083,E1083.M01,E1112,E1113.M01,E1203.M06,E1203.m01,E1203.m06,E1485,E1485.M04,E1486,E1510,E1564,F0001,F0001.002,F0001.008,F0001.010,F0001.011,F0002.001,F0002.002,F0004,F0004.003,F0004.005,F0004.008,F0005,F0005.002,F0005.004,F0007,F0007.001,F0011,F0012,F0013,F0015.006,OB0001,OB0002,OB0003,OB0004,OB0005,OB0006,OB0007,OB0008,OB0009,OB0012,OC0001,OC0002,OC0003,OC0005,OC0006,OC0008
21b63a545df6a8ccbf3a70596ce720392245a6865d45a6094df56635f069dd59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327819729,0.354144118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399720053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32860486,0,0,0,0,0.338338685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294677296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174705346,0,0,0,0,0,0.289043071,0,0,0,0,0,0,0,0.276617951,0.327819729
25abc25a488468887ae9b909116f16841a6be0948c5d2b9240f64be0761653de,0.334179902,0,0.334179902,0,0,0,0,0,0,0,0.308761155,0.334179902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457227371,0,0.329925077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199840027,0,0,0,0,0,0,0,0,0,0,0.334179902,0,0,0.316414695,0
31f983668db02626b9c65b0f2fc7d14b59400c485d4ffc88418f3f76bf62ef85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117388808,0,0,0,0,0,0,0,0,0,0.360168792,0,0,0,0,0,0,0,0.155796822,0.23162126,0,0,0,0,0,0,0,0.222665976,0,0,0,0.175905128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248040075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27662412,0,0.207872712,0.273414174,0.256995359,0,0.179288667,0.190698392,0,0,0,0,0,0,0,0,0.26466784,0,0,0,0,0,0,0,0,0,0.183606257,0.114854849,0.179987895,0,0,0,0,0,0,0,0,0,0,0,0.085472964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348759067,0.068094001,0.085008832,0,0,0,0.075582633,0,0,0,0,0,0,0,0,0.107815951,0
34a51dc07bde9cbe8888d913bada3b4f66240ea94e035f49c9c1e4aa087d489b,0.142548332,0,0.142548332,0,0,0,0,0,0,0,0.131705669,0.142548332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140733387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305455164,0,0,0,0.165085814,0,0,0,0,0,0,0,0,0,0.313167119,0.260227339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225319478,0,0.253640131,0.350530127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35500801,0,0,0,0,0.205240852,0,0.214638659,0,0,0,0.249938264,0,0,0.085244093,0,0,0,0,0.094618805,0,0,0,0.253640131,0,0.142548332,0,0,0,0
35c2ee1406834ee537a4c945e4755f53272d46241402e96c77d0deb505c9e52b,0,0,0,0,0,0,0.246394163,0,0,0,0.087655013,0,0.15486933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197150632,0,0,0.233290814,0.233290814,0,0,0,0,0,0,0.258968174,0,0,0,0.236271012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192977265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180022673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19572207,0,0.182151102,0,0,0.227797395,0,0,0,0,0,0,0.214117916,0,0.149375911,0.158882022,0,0,0,0,0,0,0,0,0,0,0.246394163,0,0,0.166343194,0,0,0.149375911,0,0.152973148,0.095692315,0.149958478,0,0,0.233290814,0,0,0,0,0,0,0.239431934,0,0.071212543,0,0,0,0,0,0.236271012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056733109,0.070825847,0,0,0,0.062972328,0,0,0,0,0,0,0,0,0,0
36b8623b6b1120313cd6a82751d5eb175d274d2952a8b3d3d6f69874fb4e88b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608954924,0,0,0,0,0,0.302484046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240980867,0.300841507,0,0,0,0.267482717,0,0,0.56351833,0,0,0,0,0,0,0
38e52dbc0dbbc8d65987b05460d1a109a772aeb1fead029581115e4e4e15c240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446143882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21269186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169445858,0.211536907,0,0,0.622504968,0.188080652,0,0,0,0,0.509285068,0,0,0,0,0
42baf0d9105229ca324cb979bcd9fa893bd2585cb91a98c7406ef610b1e35291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485074251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676824547,0,0,0,0,0,0.553725116,0,0,0,0,0
44f53e578f99badd615955fdb2d5c5a70a69cfec2470d06e6be8d08c230b953f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631950847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346699704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276206287,0.344817067,0,0,0,0.306582049,0,0,0,0,0,0,0,0,0.437328443,0
52b2b45ea5d9d4871a9447c0f379ac85704447de2007b54073af0c30f7fbf488,0,0,0,0,0.192726002,0,0.158247523,0,0,0,0,0,0,0,0.146303683,0,0,0.068371008,0.073861296,0,0,0,0,0,0,0,0,0.114957076,0,0,0,0,0,0,0.126620692,0.169514843,0,0,0,0,0,0.146303683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166323227,0,0,0,0.144669865,0,0,0.136254193,0,0,0,0,0,0,0,0,0.083366742,0.123940331,0,0,0.160729149,0,0,0,0,0.119148367,0,0.107353688,0,0.094126679,0.135036364,0,0,0,0,0,0,0.118412368,0.115620199,0,0.146303683,0,0,0,0,0,0,0.209831828,0.136254193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068534757,0.130564848,0,0.148021322,0.151745894,0.070564871,0.125703192,0,0.11698719,0,0,0,0.138831359,0.166323227,0.148021322,0.133861274,0.111232505,0,0,0,0.095937208,0.102042541,0,0,0,0,0.146303683,0.209831828,0,0.173043011,0.141623527,0.186620669,0,0,0,0.106834505,0,0.14019835,0,0,0.098247546,0.061458728,0.096311364,0.223409486,0,0.149831851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163409509,0,0.106834505,0,0,0.03643704,0,0,0,0,0,0.060283638,0,0,0,0,0,0,0,0.05769222,0.068371008
