ttps,D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-PMAD - Protocol Metadata Anomaly Detection,D3-RTSD - Remote Terminal Session Detection,D3-NTCD - Network Traffic Community Deviation,D3-APCA - Application Protocol Command Analysis,D3-CSPP - Client-server Payload Profiling,D3-NTSA - Network Traffic Signature Analysis,D3-RPA - Relay Pattern Analysis,D3-PHDURA - Per Host Download-Upload Ratio Analysis,D3-OTF - Outbound Traffic Filtering,D3-NTF - Network Traffic Filtering,D3-RF - Restore File,D3-CF - Content Filtering,D3-HBPI - Hardware-based Process Isolation,D3-KBPI - Kernel-based Process Isolation,D3-RIC - Reissue Credential,D3-PLA - Process Lineage Analysis,D3-RD - Restore Database,D3-CCSA - Credential Compromise Scope Analysis,D3-ABPI - Application-based Process Isolation,D3-PS - Process Suspension,D3-CM - Content Modification,D3-CRO - Credential Rotation,D3-CR - Credential Revocation,D3-HR - Host Reboot,D3-MFA - Multi-factor Authentication,D3-CQ - Content Quarantine,D3-PSMD - Process Self-Modification Detection,D3-SFA - System File Analysis,D3-DI - Data Inventory,D3-LFP - Local File Permissions,D3-CH - Credential Hardening,D3-DF - Decoy File,D3-PSA - Process Spawn Analysis,D3-FIM - File Integrity Monitoring,D3-CAA - Connection Attempt Analysis,D3-FEV - File Eviction,D3-HS - Host Shutdown,D3-PT - Process Termination,D3-AEM - Application Exception Monitoring,D3-ANAA - Administrative Network Activity Analysis,D3-DUC - Decoy User Credential,D3-FA - File Analysis,D3-ANCI - Authentication Cache Invalidation,D3-CTS - Credential Transmission Scoping,D3-RFAM - Remote File Access Mediation,D3-FE - File Encryption,D3-OPM - Operational Process Monitoring,D3-SCF - System Call Filtering,D3-WSAM - Web Session Access Mediation,D3-EAL - Executable Allowlisting,D3-SCA - System Call Analysis,D3-EDL - Executable Denylisting,D3-SCP - System Configuration Permissions,D3-SWI - Software Inventory,D3-AVE - Asset Vulnerability Enumeration,D3-FV - Firmware Verification,D3-FBA - Firmware Behavior Analysis,D3-FEMC - Firmware Embedded Monitoring Code,D3-SU - Software Update,D3-RS - Restore Software,D3-EFA - Emulated File Analysis,D3-DA - Dynamic Analysis,D3-ST - Session Termination,D3-DTP - Domain Trust Policy,D3-SAOR - Segment Address Offset Randomization,D3-PSEP - Process Segment Execution Prevention,D3-SJA - Scheduled Job Analysis,D3-CI - Configuration Inventory,D3-RC - Restore Configuration,D3-SICA - System Init Config Analysis,D3-NRAM - Network Resource Access Mediation,D3-DNR - Decoy Network Resource,D3-CA - Certificate Analysis,D3-SDM - System Daemon Monitoring,D3-MBT - Memory Boundary Tracking,D3-PCSV - Process Code Segment Verification,D3-IDA - Input Device Analysis,D3-SBV - Service Binary Verification,D3-IOPR - IO Port Restriction,D3-HCI - Hardware Component Inventory,D3-DNSTA - DNS Traffic Analysis,D3-FC - File Carving,D3-DNSAL - DNS Allowlisting,D3-DNSDL - DNS Denylisting,D3-FRDDL - Forward Resolution Domain Denylisting,D3-RRID - Reverse Resolution IP Denylisting,D3-FCA - File Creation Analysis,D3-DE - Decoy Environment,D3-CDP - Change Default Password,D3-ULA - Unlock Account,D3-AA - Agent Authentication,D3-RUAA - Restore User Account Access,D3-UAP - User Account Permissions,D3-AL - Account Locking,D3-DAM - Domain Account Monitoring,D3-AM - Access Modeling,D3-LAM - Local Account Monitoring,D3-ACH - Application Configuration Hardening,D3-PLM - Physical Link Mapping,D3-NNI - Network Node Inventory,D3-SRA - Sender Reputation Analysis,D3-ER - Email Removal,D3-HD - Homoglyph Detection,D3-SMRA - Sender MTA Reputation Analysis,D3-RE - Restore Email,D3-EHB - Endpoint Health Beacon,D3-LLM - Logical Link Mapping,D3-RNA - Restore Network Access,D3-DRA - Disable Remote Access,D3-EF - Email Filtering,D3-VS - Video Surveillance,D3-TB - Token Binding,D3-NTPM - Network Traffic Policy Mapping,D3-TBA - Token-based Authentication,D3-SSC - Shadow Stack Comparisons,D3-SFCV - Stack Frame Canary Validation,D3-ITF - Inbound Traffic Filtering,D3-ISVA - Inbound Session Volume Analysis,D3-SFV - System Firmware Verification,D3-BA - Bootloader Authentication,D3-SYSVA - System Vulnerability Assessment,D3-RKD - Registry Key Deletion,D3-DENCR - Disk Encryption,D3-FFV - File Format Verification,D3-USICA - User Session Init Config Analysis,D3-UA - URL Analysis,D3-IAA - Identifier Activity Analysis,D3-URA - URL Reputation Analysis,D3-CE - Credential Eviction,D3-EI - Execution Isolation,D3-FAPA - File Access Pattern Analysis,D3-FCOA - File Content Analysis,D3-FHRA - File Hash Reputation Analysis,D3-FRIDL - Forward Resolution IP Denylisting,D3-NI - Network Isolation,D3-NTA - Network Traffic Analysis,D3-PA - Process Analysis,D3-SEA - Script Execution Analysis
T1001,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1003,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1005,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1010,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1014,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1016,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1018,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
