rank,action,score
1,D3-PT - Process Termination,1.398125
2,D3-OTF - Outbound Traffic Filtering,0.834229
3,D3-FEV - File Eviction,0.600690
4,D3-CQ - Content Quarantine,0.596603
5,D3-EDL - Executable Denylisting,0.566603
6,D3-APCA - Application Protocol Command Analysis,0.300000
7,D3-CSPP - Client-server Payload Profiling,0.300000
8,D3-NTCD - Network Traffic Community Deviation,0.300000
9,D3-NTF - Network Traffic Filtering,0.300000
10,D3-NTSA - Network Traffic Signature Analysis,0.300000
11,D3-PHDURA - Per Host Download-Upload Ratio Analysis,0.300000
12,D3-PMAD - Protocol Metadata Anomaly Detection,0.300000
13,D3-RPA - Relay Pattern Analysis,0.300000
14,D3-RTSD - Remote Terminal Session Detection,0.300000
15,D3-UGLPA - User Geolocation Logon Pattern Analysis,0.300000
16,D3-CF - Content Filtering,0.300000
17,D3-CM - Content Modification,0.300000
18,D3-DF - Decoy File,0.300000
19,D3-FA - File Analysis,0.300000
20,D3-FE - File Encryption,0.300000
21,D3-FIM - File Integrity Monitoring,0.300000
22,D3-LFP - Local File Permissions,0.300000
23,D3-RF - Restore File,0.300000
24,D3-RFAM - Remote File Access Mediation,0.300000
25,D3-EAL - Executable Allowlisting,0.300000
26,D3-HBPI - Hardware-based Process Isolation,0.300000
27,D3-PSA - Process Spawn Analysis,0.300000
28,D3-SCA - System Call Analysis,0.300000
29,D3-SCF - System Call Filtering,0.300000
30,D3-DI - Data Inventory,0.300000
31,D3-RD - Restore Database,0.300000
32,D3-SCP - System Configuration Permissions,0.300000
33,D3-DA - Dynamic Analysis,0.300000
34,D3-EFA - Emulated File Analysis,0.300000
35,D3-SFA - System File Analysis,0.300000
36,D3-SJA - Scheduled Job Analysis,0.300000
37,D3-CI - Configuration Inventory,0.300000
38,D3-RC - Restore Configuration,0.300000
39,D3-DNSTA - DNS Traffic Analysis,0.300000
40,D3-CA - Certificate Analysis,0.300000
41,D3-DNSAL - DNS Allowlisting,0.300000
42,D3-DNSDL - DNS Denylisting,0.300000
43,D3-FC - File Carving,0.300000
44,D3-FRDDL - Forward Resolution Domain Denylisting,0.300000
45,D3-RRID - Reverse Resolution IP Denylisting,0.300000
