sha256,precision_top1,recall_top1,f1_top1,precision_top2,recall_top2,f1_top2,precision_top3,recall_top3,f1_top3,precision_top4,recall_top4,f1_top4,precision_top5,recall_top5,f1_top5
217b48c748e06681c43e86e191f0e3c018d49f419900d97793ae7656630eab6c,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.25,0.3333,0.2857,0.2,0.3333,0.25
328f9ce928fd425c12da50ddf3a0fe0eb66f2180643efd70e7f16081860eaddf,1.0,0.25,0.4,0.5,0.25,0.3333,0.3333,0.25,0.2857,0.25,0.25,0.25,0.4,0.5,0.4444
349bdb12a75fbfc2803f988862764ba6058b371728930f8dcb248f105ce607f7,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
414bb1af4fbb618c4889d69144c7f66591c6e5294d0ab3b7ea8b774946977cf2,0.0,0.0,0,0.5,0.2,0.2857,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
435a836a250603d3014f794b7123a5ed21d5481a4a86c10d669e8b1f71e9f113,1.0,0.5,0.6667,1.0,1.0,1.0,0.6667,1.0,0.8,0.5,1.0,0.6667,0.4,1.0,0.5714
516dde3ce16ca9d1b0e2bf90b4eb57c6d00d3870f6cdb811d2ce88d350c46219,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
0631f79b64656ff71ed923284acc5ee41ebb530eb42cecbd78846b6ddd180b9f,1.0,0.25,0.4,1.0,0.5,0.6667,0.6667,0.5,0.5714,0.5,0.5,0.5,0.4,0.5,0.4444
701d3db21920f78b8ed2eb6b4286f858277928f50d567c9c6594bd1971e9c07e,1.0,0.2,0.3333,0.5,0.2,0.2857,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
781bc4dcbd459893397a8b987bf697f5b95435dfaf7fe3f4d2224728e7a2202a,1.0,0.2,0.3333,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
792b258b63cc60abacdcc9218b04152805081b3cf8d11de875969c7f07bb0738,1.0,0.25,0.4,0.5,0.25,0.3333,0.6667,0.5,0.5714,0.5,0.5,0.5,0.4,0.5,0.4444
c537e80f2013565acd62603d772322d7ceaf0ebcc8cb33a3964d9423d117993f,1.0,0.25,0.4,0.5,0.25,0.3333,0.3333,0.25,0.2857,0.25,0.25,0.25,0.2,0.25,0.2222
1572e78bd040b8ba1a070b495df92ad34deb842e8edd732c1e4dc2c83f76357c,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
2057eecca1d0993e8d613a34f47a147109517e5bd7d1db80d2d87db3a82e3cec,1.0,0.3333,0.5,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
2486ac56d5f6e92a34afc9c811720e9a8e03ac6e938410f81d9681a12c536e95,1.0,0.3333,0.5,0.5,0.3333,0.4,0.3333,0.3333,0.3333,0.25,0.3333,0.2857,0.2,0.3333,0.25
2896b38ec3f5f196a9d127dbda3f44c7c29c844f53ae5f209229d56fd6f2a59c,1.0,0.25,0.4,1.0,0.5,0.6667,0.6667,0.5,0.5714,0.5,0.5,0.5,0.4,0.5,0.4444
4486d008b7f67db604b8ed1bb3a5fae6004a9f6b75777c85fdeb5ecde7e63e73,0.0,0.0,0,0.5,0.2,0.2857,0.3333,0.2,0.25,0.25,0.2,0.2222,0.2,0.2,0.2
5999f4881e035a5c564ee3bcdf39d04082978f3e0bbee2c27b0fcc30493da60f,1.0,0.2,0.3333,1.0,0.4,0.5714,0.6667,0.4,0.5,0.5,0.4,0.4444,0.4,0.4,0.4
